parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.19434131471513727,0.09631648207351075,0.24180531764104518
"[7.0, 0.7]",0.0049314796924591064,0.0016718484661753508,0.024095920380756395
"[5.0, 0.0]",0.002942204475402832,0.0010484631130650587,0.012078003502283776
"[3.0, -0.5]",0.00901535153388977,0.0026061706116970703,0.030138507806051713
"[0.1, 1.0]",5.804536137454776,2.338625553431391,6.002194881612911
"[0.1, -1.0]",5.59921100265775,2.2897656367361865,5.812404158215191
"[10.0, -1.0]",0.013195118159768648,0.007371640921098805,0.03914857810566524
"[10.0, -1.0]",0.013195118159768648,0.007371640921098805,0.03914857810566524
"[0.5, 0.5]",0.34468634192575187,0.1568322780894762,0.3736572933078326
"[6.0, -0.7]",0.009661704301834106,0.0024817443910016357,0.015526897005900223
